id,City,Country,Station_Id,Station_Name,Latitude,Longitude,Timestamp,Total_Available_Slots,Total_Available_Free_Bikes,Total_Available_EBikes,Total_Available_Normal_Bikes,Total_Available_Empty_Slots
1,Vancouver,CA,686c0fdb962e26e274d81fc286c010dd,14th & Cambie,49.258763,-123.115392,2023-12-17T22:12:48.931000Z,14,2,1,1,12
1,Vancouver,CA,0cf6cd1809fa7f510812f5b052f578c4,Ontario & 5th,49.266724,-123.104824,2023-12-17T22:12:48.930000Z,20,10,0,10,10
1,Vancouver,CA,93c88a18c673e2c72a6afa93d6b89f18,10th & Main,49.262141,-123.101961,2023-12-17T22:12:48.938000Z,18,9,0,9,9
1,Vancouver,CA,8fb5ce1e34ad31de940481953aea452c,Cypress & 4th,49.268269,-123.147885,2023-12-17T22:12:48.944000Z,18,7,0,7,10
1,Vancouver,CA,aa704bfba40286bd0661b64d1f75e778,Vanier Park,49.275717,-123.142564,2023-12-17T22:12:48.939000Z,28,15,0,15,13
1,Vancouver,CA,8c9ea7f2132376859ef34fab981d6932,Nelson & Mainland,49.276436,-123.11877,2023-12-17T22:12:48.947000Z,20,5,4,1,15
1,Vancouver,CA,1d4153659a0a0a2089078c739df6737d,Nelson & Richards,49.277844,-123.120942,2023-12-17T22:12:48.946000Z,18,4,4,0,14
1,Vancouver,CA,fbb4c06b719596c21f91fd51ef6d4710,7th & Heather,49.265089,-123.119425,2023-12-17T22:12:49.030000Z,18,13,1,12,2
1,Vancouver,CA,72c1049dfbbde7c24ec45c14f1a5ee85,Harwood & Bute,49.28026,-123.135244,2023-12-17T22:12:49.021000Z,20,5,2,3,15
1,Vancouver,CA,00fa94ad698dc4a9e4d708d6fd32f294,Chilco & Barclay,49.291909,-123.140713,2023-12-17T22:12:49.410000Z,18,17,0,17,1
1,Vancouver,CA,efa947b901a2cf85b58320b3ad26a2fe,Chilco & Robson,49.293257,-123.138563,2023-12-17T22:12:49.409000Z,16,5,1,4,11
1,Vancouver,CA,66a53e9c32e4f5c724f9478240020142,Nicola & Robson,49.288011,-123.132006,2023-12-17T22:12:49.407000Z,18,2,0,2,16
1,Vancouver,CA,97b25faf822b93fdbf72da1d594c0288,Carrall & Hastings,49.28117,-123.104419,2023-12-17T22:12:49.405000Z,18,13,0,13,4
1,Vancouver,CA,6c7fb9043e6df5a4cc50404581a947b9,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,2023-12-17T22:12:49.404000Z,28,7,1,6,21
1,Vancouver,CA,30bf49544b1c864688b78172d42cca5e,Stanley Park - Vancouver Aquarium,49.299292,-123.130281,2023-12-17T22:12:48.690000Z,16,1,0,1,15
1,Vancouver,CA,9f63cebac9073eac3e90be2b9a91b02b,Stanley Park - Second Beach North,49.29534,-123.150433,2023-12-17T22:12:48.691000Z,16,10,2,8,6
1,Vancouver,CA,9aa325529164ec68b4d96c4f1c4fc7c1,Stanley Park - Second Beach South,49.294318,-123.148808,2023-12-17T22:12:48.679000Z,18,8,3,5,10
1,Vancouver,CA,e3d32ad772a5898c3b96c4d23d2cd542,Stanley Park - Totem Poles,49.298657,-123.121176,2023-12-17T22:12:48.678000Z,20,9,4,5,10
1,Vancouver,CA,625a2ad202275c8e2be3ce868e85b105,Heather & 14th,49.259183,-123.120126,2023-12-17T22:12:48.689000Z,16,2,0,2,12
1,Vancouver,CA,6c0de983fb47a3439a9e3c36a3d15804,8th & Ontario,49.263837,-123.105173,2023-12-17T22:12:48.680000Z,16,6,4,2,9
1,Vancouver,CA,92c9e62c0b42adf4759c430009d3987a,1st & Chestnut,49.270721,-123.146175,2023-12-17T22:12:48.677000Z,26,10,1,9,16
1,Vancouver,CA,51e4d3731aebbf9c3186f310a08de6c8,7th & Arbutus,49.265605,-123.152566,2023-12-17T22:12:48.676000Z,16,1,1,0,14
1,Vancouver,CA,826af7eee4ce28b6fa4b4f0211305792,5th & Arbutus,49.267222,-123.153157,2023-12-17T22:12:48.512000Z,16,1,0,1,12
1,Vancouver,CA,4cb84c9a3743287019ae00ceef9a1cd3,10th & Oak,49.262255,-123.126217,2023-12-17T22:12:48.509000Z,30,1,1,0,24
1,Vancouver,CA,56fef9ba0af67a4ff3e661a8e02c0b08,Arbutus & 16th,49.257654,-123.153212,2023-12-17T22:12:48.511000Z,40,20,6,14,20
1,Vancouver,CA,c81f75a80312c51ceaef1304beac1990,Cypress & 14th,49.25919,-123.148268,2023-12-17T22:12:48.524000Z,12,5,0,5,7
1,Vancouver,CA,afacb2133f2462aba7748cc21b71c788,Cypress & 16th,49.25741,-123.148531,2023-12-17T22:12:48.529000Z,12,6,1,5,6
1,Vancouver,CA,a9f0b06d07f89b75e92c0cf686223aea,Georgia & Thurlow,49.285953,-123.124066,2023-12-17T22:12:48.452000Z,12,7,5,2,4
1,Vancouver,CA,686b314a6c3348efd2297d6b3dfed1a7,Thurlow & Pendrell,49.280881,-123.130672,2023-12-17T22:12:48.449000Z,16,7,1,6,9
1,Vancouver,CA,0d1b5c62f8d22e3650811df55596e25b,Heather & 16th,49.256845,-123.120071,2023-12-17T22:12:48.408000Z,12,2,1,1,10
1,Vancouver,CA,521c2122c791ed038168c3b8ff24061b,14th & Ontario,49.25849,-123.104799,2023-12-17T22:12:48.365000Z,16,1,1,0,12
1,Vancouver,CA,838d5bb59963474ad08a6d5b156943ed,14th & Main,49.258425,-123.100792,2023-12-17T22:12:48.333000Z,14,0,0,0,14
1,Vancouver,CA,b9ab6ce009eda6006ade1d7568d9db9c,David Lam Park,49.270905,-123.126006,2023-12-17T22:12:48.357000Z,18,11,0,11,7
1,Vancouver,CA,9ec4163496363b31ab475cb851b57b21,Beach & Seymour,49.273568,-123.129935,2023-12-17T22:12:48.358000Z,18,16,1,15,2
1,Vancouver,CA,fedff7a263c182df94bda7307059cc52,Richards & Helmcken,49.277141,-123.122589,2023-12-17T22:12:49.344000Z,18,2,2,0,14
1,Vancouver,CA,b9baf685b7053de899bf3467f61c2781,Burrard & 4th,49.267859,-123.145782,2023-12-17T22:12:49.397000Z,16,10,1,9,6
1,Vancouver,CA,8d6f0cbf7d44d2908c8ce73ed00dbf66,Burrard & 7th,49.265336,-123.145823,2023-12-17T22:12:48.413000Z,16,11,2,9,5
